year,unitid,inst_name,state_abbr,inst_control,institution_level,number_admitted,number_applied,reqt_hs_rank,reqt_test_scores,reqt_other_test,reqt_toefl,years_college_reqd,open_admissions_policy,reqt_hs_gpa,reqt_hs_record,reqt_college_prep,reqt_recommendations,reqt_competencies,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,inst_status,degree_granting,open_public,postsec_public_active_title_iv,inst_category,primarily_postsecondary,offering_highest_degree,offering_highest_level,offering_undergrad,inst_affiliation,student_faculty_ratio,tuition_payment_plan
"2022","400187","Advance Beauty College","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","479974","Advance Beauty Techs Academy","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","480019","Advanced Career Institute","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","Award of less than one academic year","Yes","Private for-profit","","Yes"
"2022","496399","Agape College of Business and Science","CA","Private not-for-profit","Four or more years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","Yes","Bachelor's degree","Bachelor's degree","Yes","Private not-for-profit (no religious affiliation)","","Yes"
"2022","495192","Alder Graduate School of Education","CA","Private not-for-profit","Four or more years","","","","","","","4","Not applicable","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Yes","Master's degree","Master's degree","No","Private not-for-profit (no religious affiliation)","","Yes"
"2022","393524","Alhambra Beauty College","CA","Private for-profit","Less than two years (below associate's)","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Non-Title IV postsecondary institution","Missing/not reported","Yes","Non–degree granting","At least one, but less than two academic years","Yes","","",""
"2022","487995","Alhambra Medical University","CA","Private for-profit","Four or more years","","","","","","","2","Not applicable","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Yes","Doctor's degree, professional practice","Doctor's degree","No","Private for-profit","","Yes"
"2022","108807","Allan Hancock College","CA","Public","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","At least two, but less than four academic years","Yes","Public","","Yes"
"2022","110468","Alliant International University-San Diego","CA","Private for-profit","Four or more years","0","1","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Required","Not applicable","No","Required","Required","Neither required nor recommended","Considered","Neither required nor recommended","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Doctor's degree, research/scholarship and professional practice","Doctor's degree","Yes","Private for-profit","","Yes"
"2022","490081","America Evangelical University","CA","Private not-for-profit","Four or more years","","","","","","","2","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Doctor's degree, research/scholarship","Doctor's degree","Yes","Private not-for-profit (religious affiliation)","","Yes"
"2022","108852","American Academy of Dramatic Arts-Los Angeles","CA","Private not-for-profit","At least two but less than four years","164","182","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Not applicable","No","Required","Required","Neither required nor recommended","Required","Required","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","Associate's degree","Yes","Private not-for-profit (no religious affiliation)","","Yes"
"2022","108977","American Beauty College","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","441052","American Career College-Anaheim","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","Associate's degree","Yes","Private for-profit","","Yes"
"2022","109040","American Career College-Los Angeles","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","Associate's degree","Yes","Private for-profit","","Yes"
"2022","447768","American Career College-Ontario","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","Associate's degree","Yes","Private for-profit","","Yes"
"2022","483009","American College of Healthcare and Technology","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","422835","American College of Healthcare and Technology","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","At least two, but less than four academic years","Yes","Private for-profit","","Yes"
"2022","497736","American College of Healthcare and Technology-Santa Ana","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","New (active), added during the current year","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","109086","American Conservatory Theater","CA","Private not-for-profit","Four or more years","","","","","","","","","","","","","","","","","","","","","","","","","","","","Out of business","Yes","Yes","Institution is not active in current universe","Not applicable","Yes","Master's degree","Master's degree","Yes","","",""
"2022","108870","American Film Institute Conservatory","CA","Private not-for-profit","Four or more years","","","","","","","4","Not applicable","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Yes","Master's degree","Master's degree","No","Private not-for-profit (no religious affiliation)","","Yes"
"2022","493503","American Fitness and Nutrition Academy","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Closed in current year (active)","No","Yes","Non-Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","447795","American Institute of Massage Therapy","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","116846","American Jewish University","CA","Private not-for-profit","Four or more years","","","","","","","2","Not applicable","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","Yes","Master's degree","Post-master's certificate","Yes","Private not-for-profit (religious affiliation)","","Yes"
"2022","461263","American Medical Sciences Center","CA","Private for-profit","Four or more years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Bachelor's degree","Bachelor's degree","Yes","Private for-profit","","Yes"
"2022","109208","American River College","CA","Public","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","At least two, but less than four academic years","Yes","Public","","No"
"2022","433004","American University of Health Sciences","CA","Private for-profit","Four or more years","","0","Neither required nor recommended","Considered","Required","Considered","2","No","Required","Required","Required","Required","Required","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Doctor's degree, professional practice","Doctor's degree","Yes","Private for-profit","","Yes"
"2022","457299","Angeles College","CA","Private for-profit","Four or more years","","","","","","","2","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","Yes","Master's degree","Master's degree","Yes","Private for-profit","","Yes"
"2022","457314","Angeles Institute","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","475705","Annenberg School of Nursing","CA","Private not-for-profit","Less than two years (below associate's)","","0","Neither required nor recommended","Neither required nor recommended","Required","Neither required nor recommended","Not applicable","No","Neither required nor recommended","Required","Neither required nor recommended","Required","Neither required nor recommended","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private not-for-profit (no religious affiliation)","","Yes"
"2022","109350","Antelope Valley Community College District","CA","Public","Four or more years","","","","","","","2","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","Yes","Bachelor's degree","Bachelor's degree","Yes","Public","","Yes"
"2022","245838","Antioch University-Los Angeles","CA","Private not-for-profit","Four or more years","","","","","","","1","Not applicable","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Master's degree","Master's degree","Yes","Private not-for-profit (no religious affiliation)","","Yes"
"2022","245847","Antioch University-Santa Barbara","CA","Private not-for-profit","Four or more years","","","","","","","1","Not applicable","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Doctor's degree, professional practice","Doctor's degree","Yes","Private not-for-profit (no religious affiliation)","","Yes"
"2022","498456","Arizona College-Ontario","CA","Private for-profit","Four or more years","43","43","Neither required nor recommended","Neither required nor recommended","Required","Neither required nor recommended","Not applicable","No","Required","Required","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","","","","","","","","","","","","","","","New (active), added during the current year","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Bachelor's degree","Bachelor's degree","Yes","Private for-profit","","Yes"
"2022","109651","Art Center College of Design","CA","Private not-for-profit","Four or more years","912","1285","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Required","Not applicable","No","Considered","Required","Considered","Considered","Required","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Master's degree","Master's degree","Yes","Private not-for-profit (no religious affiliation)","","No"
"2022","447777","Asher College","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","Associate's degree","Yes","Private for-profit","","Yes"
"2022","154022","Ashford University","CA","Private for-profit","Four or more years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Doctor's degree, research/scholarship","Doctor's degree","Yes","Private for-profit","","Yes"
"2022","393861","Asian-American International Beauty College","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","485494","Associated Barber College of San Diego","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","109721","Associated Technical College-Los Angeles","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","109730","Associated Technical College-San Diego","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","Award of less than one academic year","Yes","Private for-profit","","Yes"
"2022","444361","ATA College","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","Associate's degree","Yes","Private for-profit","","No"
"2022","444325","ATI College-Whittier","CA","Private for-profit","Four or more years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","Yes","Bachelor's degree","Bachelor's degree","Yes","Private for-profit","","Yes"
"2022","469957","Aveda Institute-Los Angeles","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Closed in current year (active)","No","Yes","Non-Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","486558","Aviation Institute of Maintenance-Fremont","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least two, but less than four academic years","Yes","Private for-profit","","Yes"
"2022","109785","Azusa Pacific University","CA","Private not-for-profit","Four or more years","2991","3438","Neither required nor recommended","Considered","Neither required nor recommended","Considered","Not applicable","No","Required","Required","Considered","Considered","Neither required nor recommended","49","10","12","2","510","630","470","610","21","28","21","30","20","26","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Doctor's degree, research/scholarship and professional practice","Doctor's degree","Yes","Private not-for-profit (religious affiliation)","","Yes"
"2022","109819","Bakersfield College","CA","Public","Four or more years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","Yes","Bachelor's degree","Bachelor's degree","Yes","Public","","No"
"2022","417105","Baldwin Park Adult & Community Education","CA","Public","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV NOT primarily postsecondary institution","Nondegree-granting, sub-baccalaureate","No","Non–degree granting","At least one, but less than two academic years","Yes","Public","","No"
"2022","490212","Baldy View Regional Occupational Program","CA","Public","Less than two years (below associate's)","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Non-Title IV postsecondary institution","Missing/not reported","Yes","Non–degree granting","At least one, but less than two academic years","Yes","","",""
"2022","109907","Barstow Community College","CA","Public","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","Associate's degree","Yes","Public","","No"
"2022","483878","Bay Area Medical Academy","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","449357","Beaumont Adult School","CA","Public","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Public","","Yes"
"2022","109934","Bellus Academy-Chula Vista","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least two, but less than four academic years","Yes","Private for-profit","","Yes"
"2022","116563","Bellus Academy-El Cajon","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least two, but less than four academic years","Yes","Private for-profit","","Yes"
"2022","377722","Bellus Academy-Poway","CA","Private for-profit","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least two, but less than four academic years","Yes","Private for-profit","","Yes"
"2022","461643","Bergin University of Canine Studies","CA","Private not-for-profit","Four or more years","","","","","","","2","Not applicable","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Master's degree","Master's degree","Yes","Private not-for-profit (no religious affiliation)","","No"
"2022","125170","Berkeley City College","CA","Public","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","At least two, but less than four academic years","Yes","Public","","Yes"
"2022","108861","Berkeley School of Theology","CA","Private not-for-profit","Four or more years","12","18","Considered","Considered","Considered","Considered","4","No","Considered","Considered","Considered","Required","Considered","0","0","0","0","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Yes","Doctor's degree, other","Doctor's degree","Yes","Private not-for-profit (religious affiliation)","","Yes"
"2022","262022","Bethel Seminary-San Diego","CA","Private not-for-profit","Four or more years","","","","","","","4","Not applicable","","","","","","","","","","","","","","","","","","","","Closed in current year (active)","Yes","Yes","Non-Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Yes","Master's degree","Master's degree","No","Private not-for-profit (religious affiliation)","","No"
"2022","110060","Bethesda University","CA","Private not-for-profit","Four or more years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Doctor's degree, professional practice","Doctor's degree","Yes","Private not-for-profit (religious affiliation)","","Yes"
"2022","475635","Beverly Hills Design Institute","CA","Private for-profit","Four or more years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","Yes","Bachelor's degree","Bachelor's degree","Yes","Private for-profit","","No"
"2022","457253","Beyond 21st Century Beauty Academy","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","110097","Biola University","CA","Private not-for-profit","Four or more years","2392","4224","Neither required nor recommended","Considered","Neither required nor recommended","Required","Not applicable","No","Required","Required","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","183","26","72","10","565","695","540","670","23","30","23","32","20","27","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Doctor's degree, research/scholarship","Doctor's degree","Yes","Private not-for-profit (religious affiliation)","","Yes"
"2022","447810","Blake Austin College","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","454759","Borner's Barber College","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","479992","Brand College","CA","Private for-profit","Less than two years (below associate's)","1","2","Considered","Neither required nor recommended","Required","Considered","Not applicable","No","Considered","Considered","Considered","Considered","Considered","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","125082","Bridges Beauty College","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","No"
"2022","110194","Brownson Technical School","CA","Private for-profit","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Private for-profit","","Yes"
"2022","110246","Butte College","CA","Public","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","At least two, but less than four academic years","Yes","Public","","Yes"
"2022","487773","Butte County Regional Occupational Program","CA","Public","Less than two years (below associate's)","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","No","Yes","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Yes","Non–degree granting","At least one, but less than two academic years","Yes","Public","","Yes"
"2022","110334","Cabrillo College","CA","Public","At least two but less than four years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, associate's and certificates","Yes","Associate's degree","Associate's degree","Yes","Public","","No"
"2022","433420","California Aeronautical University","CA","Private for-profit","Four or more years","","","","","","","Not applicable","Yes","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Master's degree","Master's degree","Yes","Private for-profit","","Yes"
"2022","494940","California Arts University","CA","Private not-for-profit","Four or more years","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active","Yes","Yes","Non-Title IV postsecondary institution","Missing/not reported","Yes","Doctor's degree, research/scholarship","Doctor's degree","Yes","","",""
"2022","110361","California Baptist University","CA","Private not-for-profit","Four or more years","6117","7654","Considered","Neither required nor recommended","Neither required nor recommended","Considered","Not applicable","No","Required","Required","Considered","Considered","Neither required nor recommended","","","","","","","","","","","","","","","Active","Yes","Yes","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Yes","Doctor's degree, research/scholarship","Doctor's degree","Yes","Private not-for-profit (religious affiliation)","","Yes"
